Ref,Val,Package,PosX,PosY,Rot,Side
"C12","1μF 25V","C_0402_1005Metric",127.725000,-82.200000,0.000000,bottom
"C13","1μF 25V","C_0402_1005Metric",128.275000,-88.025000,0.000000,bottom
"C14","1μF 25V","C_0402_1005Metric",127.750000,-80.975000,180.000000,bottom
"C15","1μF 25V","C_0402_1005Metric",128.275000,-89.025000,0.000000,bottom
"R10","2k37","R_0402_1005Metric",128.275000,-85.025000,0.000000,bottom
"R11","560k","R_0402_1005Metric",128.275000,-87.025000,0.000000,bottom
"R13","2k37","R_0402_1005Metric",128.275000,-86.025000,0.000000,bottom
"SW1","key1","SW_SPST_PTS810",140.500000,-85.000000,90.000000,bottom
"SW2","key2","SW_SPST_PTS810",154.775000,-85.000000,90.000000,bottom
